KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000846001,T000846002,T000846003,T000846004,T000846005,T000846006,T000846007,T000846008,T000846009,T000846010,T000846011,T000846012,T000846013,T000846014,T000846015,T000846016,T000846017,T000846018,T000846019,T000846020,T000846021,T000846022,T000846023,T000846024,T000846025,T000846026,T000846027,T000846028,T000846029,T000846030,T000846031,T000846032,T000846033,T000846034,T000846035,T000846036,T000846037,T000846038,T000846039,T000846040,T000846041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
53386360,0,,,38,16,22,0,0,0,38,16,22,20,8,12,34,16,18,18,8,10,5,2,3,4,0,4,23,23,11,10,1,1,0,0,0,12,12,0,0,12,1,5,6
53386361,0,,,13,6,7,1,1,0,12,5,7,6,2,4,12,5,7,6,3,3,1,1,0,1,1,0,6,6,1,3,2,0,0,0,0,5,5,0,0,3,0,0,2
53386362,0,,,245,131,114,16,9,7,229,122,107,123,70,53,222,119,103,106,52,54,33,16,17,0,0,0,122,122,39,55,18,9,0,1,0,81,75,6,5,72,7,21,32
53386363,0,,,239,117,122,22,17,5,217,100,117,112,51,61,213,97,116,105,49,56,41,18,23,3,1,2,103,103,20,52,15,11,4,1,0,82,74,8,6,69,0,14,27
53386364,0,,,130,68,62,8,5,3,122,63,59,87,45,42,117,58,59,35,18,17,10,5,5,3,2,1,53,53,12,15,21,1,3,1,0,40,35,5,2,25,0,6,6
53386365,0,,,111,54,57,8,3,5,103,51,52,62,29,33,99,50,49,41,22,19,20,9,11,1,1,0,51,51,17,20,6,6,0,2,0,32,27,5,2,30,1,9,9
53386366,0,,,147,69,78,17,6,11,130,63,67,71,38,33,126,61,65,59,25,34,36,12,24,0,0,0,62,62,19,22,12,3,1,4,1,43,29,14,4,45,1,12,7
53386367,0,,,59,26,33,6,3,3,53,23,30,30,14,16,50,22,28,23,9,14,13,5,8,0,0,0,21,21,3,5,9,2,1,1,0,18,15,3,1,15,0,2,4
53386368,0,,,23,12,11,5,4,1,18,8,10,11,4,7,18,8,10,7,4,3,2,1,1,0,0,0,8,8,2,2,0,3,1,0,0,6,4,2,3,5,0,1,2
53386370,0,,,13,7,6,0,0,0,13,7,6,7,4,3,13,7,6,6,3,3,2,1,1,0,0,0,6,6,1,3,2,0,0,0,0,5,4,1,0,4,0,1,0
53386371,1,,53386381,21,8,13,3,1,2,24,10,14,14,5,9,24,10,14,10,5,5,3,2,1,0,0,0,10,10,3,6,1,1,1,0,0,8,8,0,1,7,0,3,3
53386372,0,,,104,53,51,24,13,11,80,40,40,49,24,25,75,37,38,31,16,15,12,5,7,0,0,0,41,41,10,18,4,3,3,2,1,31,31,0,4,22,0,6,10
53386373,0,,,134,68,66,15,6,9,119,62,57,64,37,27,113,57,56,55,25,30,24,12,12,2,0,2,57,57,14,25,8,6,2,2,0,43,40,3,2,34,0,9,17
53386374,0,,,34,19,15,2,2,0,32,17,15,20,11,9,30,16,14,12,6,6,5,2,3,0,0,0,18,18,7,9,0,1,1,0,0,10,9,1,0,8,0,2,4
53386375,0,,,139,71,68,8,6,2,131,65,66,92,45,47,124,60,64,39,20,19,14,4,10,5,1,4,66,66,20,28,12,3,3,0,0,45,40,5,3,29,5,8,10
53386381,2,53386371,,6,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53386382,0,,,175,81,94,5,2,3,170,79,91,83,38,45,168,78,90,87,41,46,27,12,15,0,0,0,88,88,23,48,12,5,0,0,0,64,60,4,1,56,0,15,22
53386383,0,,,46,22,24,0,0,0,46,22,24,22,10,12,45,21,24,24,12,12,10,4,6,1,0,1,22,22,5,10,7,0,0,0,0,16,14,2,0,16,0,3,5
53386384,0,,,85,44,41,11,7,4,74,37,37,46,22,24,72,36,36,28,15,13,10,5,5,1,1,0,40,40,14,14,8,2,1,1,0,26,25,1,3,20,0,5,7
53386385,0,,,218,106,112,24,11,13,194,95,99,131,68,63,187,91,96,63,27,36,23,8,15,4,0,4,97,97,33,35,13,9,3,3,1,61,53,8,8,45,1,13,15
53386392,0,,,49,21,28,4,2,2,29,10,19,27,9,18,28,10,18,2,1,1,0,0,0,0,0,0,39,39,35,1,2,0,0,1,0,4,4,0,2,1,6,0,0
53386393,0,,,20,9,11,3,1,2,17,8,9,12,5,7,16,8,8,5,3,2,0,0,0,0,0,0,8,8,0,5,2,1,0,0,0,8,8,0,1,4,0,0,2
53386394,0,,,113,54,59,11,10,1,102,44,58,59,26,33,96,41,55,43,18,25,15,3,12,1,0,1,50,50,11,21,13,4,1,0,0,39,36,3,2,31,0,9,8
53386395,0,,,186,95,91,16,8,8,169,86,83,108,57,51,163,81,82,61,29,32,26,10,16,0,0,0,87,87,30,33,12,9,2,0,1,54,45,9,5,42,2,10,19
53386396,1,,53386397,199,112,87,15,8,7,195,110,85,122,74,48,190,107,83,73,36,37,40,18,22,18,18,0,65,65,8,21,18,7,5,4,4,46,34,12,4,47,0,6,9
53386397,2,53386396,,11,6,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
