pop,ISO3
1210,IRQ
1390,ISL
1310,ISR
3530,ITA
1550,JAM
1220,JOR
1830,JPN
1430,KAZ
894,KEN
731,
869,KHM
767,KIR
1620,
1130,KOR
1550,KWT
1030,
1490,LBN
1140,LBR
1250,LBY
784,
1220,LKA
533,LSO
1680,LTU
2190,LUX
1180,LVA
967,MAR
2720,MCO
895,MDA
628,MDG
1170,MDV
1700,MEX
751,MHL
870,MKD
847,MLI
1080,MLT
1110,MMR
1430,MNE
597,MNG
503,MOZ
652,MRT
1440,MUS
530,MWI
1330,MYS
729,NAM
637,NER
1150,NGA
1350,NIC
5810,NLD
1880,NOR
890,NPL
769,NRU
1140,NZL
490,OMN
1300,PAK
1110,PAN
1400,PER
1290,PHL
1160,PLW
759,PNG
1110,POL
1060,
2010,PRT
1080,PRY
1210,
1550,QAT
576,ROU
1940,RUS
613,RWA
1090,SAU
684,SDN
693,SEN
1130,SGP
504,SLB
1010,SLE
1210,SLV
1960,SMR
967,SOM
1790,SRB
705,SSD
1090,STP
2270,SUR
1740,
2140,SVN
1940,SWE
644,SWZ
1100,SYC
1500,SYR
504,TCD
913,TGO
1260,THA
777,TJK
1330,TKM
730,TLS
920,TON
1730,TTO
948,TUN
1340,TUR
998,TUV
1340,TWN
592,TZA
662,UGA
1070,UKR
2600,URY
3670,USA
743,UZB
1160,VCT
1450,VEN
1170,VNM
813,VUT
1940,WSM
1240,YEM
1920,ZAF
654,ZMB
1170,ZWE
583,AFG
464,AGO
579,ALB
1680,AND
1420,ARE
2100,ARG
725,ARM
1050,ATG
1030,AUS
2410,AUT
880,AZE
647,BDI
3250,BEL
1010,BEN
733,BFA
935,BGD
1390,BGR
1060,BHR
2010,BHS
1200,BIH
1110,BLR
804,BLZ
1120,BOL
1200,BRA
1590,BRB
2100,BRN
874,BTN
442,BWA
593,CAF
1780,CAN
2720,CHE
1180,CHL
1260,CHN
708,
733,CMR
430,
709,
1270,COL
722,COM
597,CPV
1110,CRI
903,CUB
1180,CYP
1980,CZE
2180,DEU
1150,DJI
652,DMA
2510,DNK
791,DOM
933,DZA
635,ECU
1320,EGY
738,ERI
2090,ESP
1940,EST
868,ETH
1720,FIN
1090,FJI
2490,FRA
722,
610,GAB
4560,GBR
944,GEO
924,GHA
527,GIN
968,GMB
596,GNB
444,GNQ
1620,GRC
1330,GRD
1240,GTM
1690,GUY
1650,
895,HND
1150,HRV
880,HTI
1530,HUN
1220,IDN
1400,IND
1660,IRL
1220,IRN
1210,IRQ
1390,ISL
1310,ISR
3610,ITA
1550,JAM
1220,JOR
1830,JPN
1440,KAZ
894,KEN
736,
869,KHM
769,KIR
1620,
1130,KOR
1560,KWT
1030,
1490,LBN
1140,LBR
1250,LBY
784,
1220,LKA
533,LSO
1680,LTU
2190,LUX
1190,LVA
967,MAR
2720,MCO
895,MDA
628,MDG
1170,MDV
1670,MEX
751,MHL
870,MKD
847,MLI
1080,MLT
1110,MMR
1420,MNE
597,MNG
503,MOZ
652,MRT
1440,MUS
530,MWI
1330,MYS
729,NAM
637,NER
1150,NGA
1350,NIC
5850,NLD
1880,NOR
890,NPL
769,NRU
1140,NZL
490,OMN
1300,PAK
1110,PAN
1440,PER
1290,PHL
1170,PLW
759,PNG
1080,POL
1060,
1960,PRT
1080,PRY
1220,
1560,QAT
576,ROU
1940,RUS
615,RWA
1090,SAU
684,SDN
695,SEN
1130,SGP
504,SLB
1010,SLE
1210,SLV
1970,SMR
969,SOM
1790,SRB
705,SSD
1090,STP
2270,SUR
1740,
2140,SVN
1960,SWE
644,SWZ
1100,SYC
1500,SYR
504,TCD
913,TGO
1260,THA
779,TJK
1330,TKM
731,TLS
920,TON
1730,TTO
948,TUN
1340,TUR
998,TUV
1340,TWN
593,TZA
662,UGA
1080,UKR
2610,URY
3730,USA
743,UZB
1160,VCT
1440,VEN
1170,VNM
813,VUT
1940,WSM
1240,YEM
1920,ZAF
656,ZMB
1180,ZWE
583,AFG
466,AGO
581,ALB
1680,AND
1420,ARE
2110,ARG
727,ARM
1050,ATG
1040,AUS
2420,AUT
880,AZE
649,BDI
3250,BEL
1010,BEN
734,BFA
935,BGD
1390,BGR
1060,BHR
2010,BHS
1200,BIH
1110,BLR
804,BLZ
1120,BOL
1200,BRA
1590,BRB
2100,BRN
874,BTN
444,BWA
594,CAF
1790,CAN
2730,CHE
1180,CHL
1260,CHN
708,
734,CMR
430,
710,
1260,COL
723,COM
597,CPV
1110,CRI
910,CUB
1180,CYP
1980,CZE
2180,DEU
1160,DJI
652,DMA
2510,DNK
791,DOM
934,DZA
636,ECU
1320,EGY
740,ERI
2090,ESP
1950,EST
868,ETH
1730,FIN
1090,FJI
2490,FRA
722,
610,GAB
4790,GBR
944,GEO
924,GHA
527,GIN
968,GMB
596,GNB
445,GNQ
1630,GRC
1330,GRD
1240,GTM
1690,GUY
1650,
895,HND
1160,HRV
880,HTI
1530,HUN
1210,IDN
1390,IND
1680,IRL
1220,IRN
1210,IRQ
1390,ISL
1310,ISR
3620,ITA
1550,JAM
1220,JOR
1830,JPN
1440,KAZ
894,KEN
741,
869,KHM
769,KIR
1620,
1130,KOR
1560,KWT
1030,
1490,LBN
1150,LBR
1250,LBY
784,
1220,LKA
533,LSO
1690,LTU
2190,LUX
1190,LVA
967,MAR
2730,MCO
899,MDA
628,MDG
1170,MDV
1630,MEX
751,MHL
870,MKD
847,MLI
1080,MLT
1110,MMR
1410,MNE
597,MNG
504,MOZ
652,MRT
1440,MUS
530,MWI
1330,MYS
729,NAM
639,NER
1150,NGA
1350,NIC
5360,NLD
1880,NOR
890,NPL
769,NRU
1140,NZL
490,OMN
1300,PAK
1110,PAN
1460,PER
1290,PHL
1170,PLW
759,PNG
1060,POL
1060,
1970,PRT
1080,PRY
1220,
1560,QAT
576,ROU
1940,RUS
619,RWA
1100,SAU
684,SDN
695,SEN
1130,SGP
504,SLB
1010,SLE
1210,SLV
1970,SMR
969,SOM
1790,SRB
705,SSD
1090,STP
2270,SUR
1740,
2140,SVN
1880,SWE
644,SWZ
1100,SYC
1500,SYR
504,TCD
913,TGO
1260,THA
780,TJK
1340,TKM
733,TLS
920,TON
1730,TTO
948,TUN
1340,TUR
998,TUV
1340,TWN
593,TZA
662,UGA
1080,UKR
2620,URY
3770,USA
743,UZB
1160,VCT
1440,VEN
1170,VNM
813,VUT
1950,WSM
1250,YEM
2080,ZAF
658,ZMB
1180,ZWE
583,AFG
468,AGO
582,ALB
1690,AND
1430,ARE
2120,ARG
730,ARM
1050,ATG
1040,AUS
2430,AUT
880,AZE
649,BDI
3250,BEL
1010,BEN
736,BFA
935,BGD
1390,BGR
1070,BHR
2010,BHS
1200,BIH
1110,BLR
804,BLZ
1120,BOL
1200,BRA
1590,BRB
2100,BRN
874,BTN
445,BWA
594,CAF
1810,CAN
2740,CHE
1180,CHL
1260,CHN
708,
736,CMR
430,
713,
1250,COL
724,COM
597,CPV
1110,CRI
918,CUB
1180,CYP
1980,CZE
2180,DEU
1160,DJI
652,DMA
2520,DNK
791,DOM
935,DZA
636,ECU
1320,EGY
740,ERI
2100,ESP
1950,EST
868,ETH
1740,FIN
1090,FJI
2490,FRA
722,
610,GAB
4510,GBR
945,GEO
925,GHA
527,GIN
969,GMB
596,GNB
445,GNQ
1650,GRC
1330,GRD
1240,GTM
1690,GUY
1650,
895,HND
1170,HRV
880,HTI
1530,HUN
1210,IDN
1380,IND
1690,IRL
1220,IRN
1210,IRQ
1390,ISL
1310,ISR
3830,ITA
1550,JAM
1220,JOR
1830,JPN
1440,KAZ
894,KEN
747,
869,KHM
770,KIR
1620,
1130,KOR
1570,KWT
1030,
1490,LBN
1150,LBR
1250,LBY
784,
1220,LKA
533,LSO
1690,LTU
2190,LUX
1190,LVA
967,MAR
2730,MCO
904,MDA
628,MDG
1170,MDV
1590,MEX
752,MHL
870,MKD
847,MLI
1080,MLT
1110,MMR
1400,MNE
597,MNG
505,MOZ
652,MRT
1440,MUS
530,MWI
1330,MYS
729,NAM
639,NER
1150,NGA
1350,NIC
3650,NLD
1880,NOR
890,NPL
770,NRU
1140,NZL
490,OMN
1300,PAK
1110,PAN
1430,PER
1290,PHL
1170,PLW
759,PNG
1030,POL
1060,
2010,PRT
1080,PRY
1230,
1570,QAT
576,ROU
1940,RUS
621,RWA
1100,SAU
684,SDN
696,SEN
1130,SGP
504,SLB
1010,SLE
1210,SLV
1970,SMR
970,SOM
1790,SRB
705,SSD
1090,STP
2270,SUR
1740,
2140,SVN
1780,SWE
644,SWZ
1100,SYC
1500,SYR
504,TCD
913,TGO
1260,THA
781,TJK
1340,TKM
734,TLS
920,TON
1740,TTO
948,TUN
1340,TUR
998,TUV
1340,TWN
593,TZA
662,UGA
1080,UKR
2630,URY
3510,USA
743,UZB
1160,VCT
1430,VEN
1170,VNM
813,VUT
1950,WSM
1250,YEM
1820,ZAF
659,ZMB
1180,ZWE
583,AFG
470,AGO
584,ALB
1690,AND
1430,ARE
2130,ARG
732,ARM
1050,ATG
1050,AUS
2440,AUT
880,AZE
650,BDI
3260,BEL
1010,BEN
738,BFA
934,BGD
1390,BGR
1070,BHR
2010,BHS
1200,BIH
1120,BLR
804,BLZ
1120,BOL
1200,BRA
1590,BRB
2100,BRN
874,BTN
446,BWA
594,CAF
1820,CAN
2760,CHE
1180,CHL
1250,CHN
708,
738,CMR
430,
715,
1250,COL
724,COM
597,CPV
1110,CRI
926,CUB
1180,CYP
1980,CZE
2180,DEU
1170,DJI
652,DMA
2520,DNK
791,DOM
936,DZA
636,ECU
1320,EGY
740,ERI
2100,ESP
1950,EST
868,ETH
1740,FIN
1090,FJI
2500,FRA
723,
610,GAB
4590,GBR
945,GEO
927,GHA
527,GIN
969,GMB
596,GNB
447,GNQ
1660,GRC
1330,GRD
1240,GTM
1690,GUY
1650,
895,HND
1180,HRV
880,HTI
1530,HUN
1200,IDN
1380,IND
1700,IRL
1220,IRN
1220,IRQ
1400,ISL
1310,ISR
3850,ITA
1550,JAM
1220,JOR
1830,JPN
1440,KAZ
894,KEN
752,
869,KHM
770,KIR
1620,
1130,KOR
1580,KWT
1030,
1490,LBN
1160,LBR
1250,LBY
785,
1220,LKA
533,LSO
1690,LTU
2190,LUX
1190,LVA
967,MAR
2740,MCO
909,MDA
629,MDG
1170,MDV
1540,MEX
752,MHL
870,MKD
847,MLI
1080,MLT
1110,MMR
1390,MNE
597,MNG
505,MOZ
652,MRT
1440,MUS
530,MWI
1330,MYS
729,NAM
639,NER
1150,NGA
1350,NIC
3720,NLD
1890,NOR
890,NPL
770,NRU
1140,NZL
490,OMN
1300,PAK
1110,PAN
1420,PER
1290,PHL
1170,PLW
759,PNG
1010,POL
1060,
1970,PRT
1080,PRY
1230,
1580,QAT
576,ROU
1940,RUS
625,RWA
1100,SAU
684,SDN
696,SEN
1130,SGP
504,SLB
1010,SLE
1210,SLV
1980,SMR
972,SOM
1790,SRB
705,SSD
1090,STP
2270,SUR
1740,
2140,SVN
1690,SWE
644,SWZ
1100,SYC
1500,SYR
504,TCD
913,TGO
1260,THA
782,TJK
1350,TKM
736,TLS
920,TON
1740,TTO
948,TUN
1340,TUR
998,TUV
1340,TWN
593,TZA
662,UGA
1090,UKR
2640,URY
3680,USA
743,UZB
1160,VCT
1420,VEN
1170,VNM
813,VUT
1950,WSM
1250,YEM
1780,ZAF
661,ZMB
1180,ZWE
583,AFG
472,AGO
586,ALB
1690,AND
1440,ARE
2130,ARG
734,ARM
1050,ATG
1050,AUS
2450,AUT
881,AZE
650,BDI
3260,BEL
1010,BEN
740,BFA
934,BGD
1390,BGR
1080,BHR
2010,BHS
1200,BIH
1120,BLR
805,BLZ
1120,BOL
1200,BRA
1590,BRB
2100,BRN
874,BTN
447,BWA
594,CAF
1830,CAN
2770,CHE
1180,CHL
1250,CHN
708,
740,CMR
430,
716,
1240,COL
725,COM
597,CPV
1110,CRI
933,CUB
1180,CYP
1980,CZE
2180,DEU
1170,DJI
652,DMA
2520,DNK
791,DOM
938,DZA
636,ECU
1330,EGY
740,ERI
2110,ESP
1950,EST
868,ETH
1750,FIN
1090,FJI
2500,FRA
723,
610,GAB
4830,GBR
945,GEO
927,GHA
527,GIN
970,GMB
596,GNB
447,GNQ
1670,GRC
1330,GRD
1240,GTM
1690,GUY
1650,
895,HND
1190,HRV
880,HTI
1530,HUN
1200,IDN
1370,IND
1710,IRL
1220,IRN
1220,IRQ
1400,ISL
1310,ISR
3550,ITA
1550,JAM
1220,JOR
1830,JPN
1440,KAZ
894,KEN
758,
869,KHM
772,KIR
1620,
1130,KOR
1580,KWT
1030,
1490,LBN
1170,LBR
1250,LBY
785,
1220,LKA
533,LSO
1690,LTU
2190,LUX
1190,LVA
967,MAR
2740,MCO
915,MDA
629,MDG
1170,MDV
1490,MEX
752,MHL
870,MKD
847,MLI
1080,MLT
1110,MMR
1390,MNE
597,MNG
506,MOZ
652,MRT
1440,MUS
530,MWI
1330,MYS
729,NAM
639,NER
1150,NGA
1350,NIC
3800,NLD
1890,NOR
890,NPL
770,NRU
1140,NZL
490,OMN
1300,PAK
1110,PAN
1430,PER
1290,PHL
1170,PLW
759,PNG
981,POL
1060,
1630,PRT
1080,PRY
1240,
1580,QAT
576,ROU
1940,RUS
628,RWA
1100,SAU
684,SDN
697,SEN
1130,SGP
505,SLB
1010,SLE
1210,SLV
1980,SMR
972,SOM
1790,SRB
705,SSD
1100,STP
2270,SUR
1740,
2140,SVN
1830,SWE
644,SWZ
1110,SYC
1500,SYR
504,TCD
913,TGO
1260,THA
782,TJK
1350,TKM
737,TLS
922,TON
1740,TTO
948,TUN
1340,TUR
999,TUV
1340,TWN
593,TZA
662,UGA
1090,UKR
2650,URY
3780,USA
743,UZB
1160,VCT
1410,VEN
1170,VNM
813,VUT
1950,WSM
1260,YEM
1970,ZAF
663,ZMB
1180,ZWE
583,AFG
474,AGO
587,ALB
1690,AND
1440,ARE
2140,ARG
738,ARM
1050,ATG
1060,AUS
2480,AUT
881,AZE
650,BDI
3270,BEL
1010,BEN
742,BFA
934,BGD
1390,BGR
1080,BHR
2010,BHS
1200,BIH
1120,BLR
805,BLZ
1120,BOL
1200,BRA
1590,BRB
2100,BRN
874,BTN
449,BWA
594,CAF
1850,CAN
2780,CHE
1130,CHL
1250,CHN
708,
742,CMR
430,
719,
1240,COL
726,COM
597,CPV
