year,gdp,ISO3
1805,923,GHA
1805,527,GIN
1805,967,GMB
1805,596,GNB
1805,444,GNQ
1805,1610,GRC
1805,1330,GRD
1805,1240,GTM
1805,1690,GUY
1805,1650,
1805,895,HND
1805,1140,HRV
1805,880,HTI
1805,1530,HUN
1805,1220,IDN
1805,1410,IND
1805,1650,IRL
1805,1220,IRN
1805,1210,IRQ
1805,1390,ISL
1805,1310,ISR
1805,3530,ITA
1805,1550,JAM
1805,1220,JOR
1805,1830,JPN
1805,1430,KAZ
1805,894,KEN
1805,731,
1805,869,KHM
1805,767,KIR
1805,1620,
1805,1130,KOR
1805,1550,KWT
1805,1030,
1805,1490,LBN
1805,1140,LBR
1805,1250,LBY
1805,784,
1805,1220,LKA
1805,533,LSO
1805,1680,LTU
1805,2190,LUX
1805,1180,LVA
1805,967,MAR
1805,2720,MCO
1805,895,MDA
1805,628,MDG
1805,1170,MDV
1805,1700,MEX
1805,751,MHL
1805,870,MKD
1805,847,MLI
1805,1080,MLT
1805,1110,MMR
1805,1430,MNE
1805,597,MNG
1805,503,MOZ
1805,652,MRT
1805,1440,MUS
1805,530,MWI
1805,1330,MYS
1805,729,NAM
1805,637,NER
1805,1150,NGA
1805,1350,NIC
1805,5810,NLD
1805,1880,NOR
1805,890,NPL
1805,769,NRU
1805,1140,NZL
1805,490,OMN
1805,1300,PAK
1805,1110,PAN
1805,1400,PER
1805,1290,PHL
1805,1160,PLW
1805,759,PNG
1805,1110,POL
1805,1060,
1805,2010,PRT
1805,1080,PRY
1805,1210,
1805,1550,QAT
1805,576,ROU
1805,1940,RUS
1805,613,RWA
1805,1090,SAU
1805,684,SDN
1805,693,SEN
1805,1130,SGP
1805,504,SLB
1805,1010,SLE
1805,1210,SLV
1805,1960,SMR
1805,967,SOM
1805,1790,SRB
1805,705,SSD
1805,1090,STP
1805,2270,SUR
1805,1740,
1805,2140,SVN
1805,1940,SWE
1805,644,SWZ
1805,1100,SYC
1805,1500,SYR
1805,504,TCD
1805,913,TGO
1805,1260,THA
1805,777,TJK
1805,1330,TKM
1805,730,TLS
1805,920,TON
1805,1730,TTO
1805,948,TUN
1805,1340,TUR
1805,998,TUV
1805,1340,TWN
1805,592,TZA
1805,662,UGA
1805,1070,UKR
1805,2600,URY
1805,3670,USA
1805,743,UZB
1805,1160,VCT
1805,1450,VEN
1805,1170,VNM
1805,813,VUT
1805,1940,WSM
1805,1240,YEM
1805,1920,ZAF
1805,654,ZMB
1805,1170,ZWE
1806,583,AFG
1806,464,AGO
1806,579,ALB
1806,1680,AND
1806,1420,ARE
1806,2100,ARG
1806,725,ARM
