pop,ISO3
16.3M,IDN
203M,IND
5.66M,IRL
6.14M,IRN
1.02M,IRQ
61.4k,ISL
210k,ISR
19.3M,ITA
323k,JAM
204k,JOR
28.7M,JPN
2.04M,KAZ
2.64M,KEN
530k,
2.09M,KHM
17.9k,KIR
17.2k,
9.39M,KOR
81.3k,KWT
470k,
308k,LBN
314k,LBR
231k,LBY
24k,
5800,LIE
1.6M,LKA
276k,LSO
779k,LTU
127k,LUX
591k,LVA
2.55M,MAR
7790,MCO
713k,MDA
1.54M,MDG
42.4k,MDV
5.44M,MEX
5830,MHL
392k,MKD
1.4M,MLI
134k,MLT
5.25M,MMR
127k,MNE
605k,MNG
2.02M,MOZ
383k,MRT
67.8k,MUS
820k,MWI
287k,MYS
214k,NAM
853k,NER
12.1M,NGA
186k,NIC
2.02M,NLD
892k,NOR
3.97M,NPL
1830,NRU
168k,NZL
304k,OMN
13.2M,PAK
78.4k,PAN
1.28M,PER
2.2M,PHL
3880,PLW
755k,PNG
9.34M,POL
4.34M,
2.88M,PRT
249k,PRY
166k,
14.1k,QAT
5.71M,ROU
31.3M,RUS
928k,RWA
2.02M,SAU
4.02M,SDN
1.01M,SEN
30k,SGP
57k,SLB
794k,SLE
202k,SLV
5490,SMR
991k,SOM
2.15M,SRB
1.03M,SSD
22.7k,STP
80.7k,SUR
2.14M,
470k,SVN
2.45M,SWE
83.8k,SWZ
12.5k,SYC
1.27M,SYR
1.46M,TCD
446k,TGO
3.35M,THA
467k,TJK
367k,TKM
137k,TLS
18.6k,TON
26.3k,TTO
818k,TUN
9.84M,TUR
2500,TUV
2M,TWN
3M,TZA
2.39M,UGA
11.2M,UKR
55k,URY
6.59M,USA
1.92M,UZB
25.8k,VCT
896k,VEN
4.53M,VNM
27.8k,VUT
47.3k,WSM
2.59M,YEM
1.47M,ZAF
806k,ZMB
1.09M,ZWE
3.28M,AFG
1.57M,AGO
411k,ALB
2650,AND
40.2k,ARE
453k,ARG
413k,ARM
37k,ATG
233k,AUS
3.11M,AUT
880k,AZE
899k,BDI
3.3M,BEL
637k,BEN
1.67M,BFA
19.4M,BGD
2.23M,BGR
64.5k,BHR
27.4k,BHS
852k,BIH
2.36M,BLR
25.5k,BLZ
946k,BOL
2.98M,BRA
81.7k,BRB
2260,BRN
392k,BTN
118k,BWA
479k,CAF
579k,CAN
1.82M,CHE
771k,CHL
339M,CHN
1.09M,
1.86M,CMR
5.16M,
314k,
1.21M,COL
56.3k,COM
55.7k,CPV
55.8k,CRI
425k,CUB
185k,CYP
5.52M,CZE
19.8M,DEU
22.8k,DJI
19.9k,DMA
1.04M,DNK
128k,DOM
2.56M,DZA
500k,ECU
3.7M,EGY
205k,ERI
11.7M,ESP
334k,EST
12M,ETH
896k,FIN
132k,FJI
29.7M,FRA
16.4k,
158k,GAB
11.5M,GBR
1.07M,GEO
2.02M,GHA
984k,GIN
103k,GMB
218k,GNB
80.4k,GNQ
2.27M,GRC
29.4k,GRD
500k,GTM
166k,GUY
20k,
131k,HND
905,
1.23M,HRV
558k,HTI
3.5M,HUN
16.4M,IDN
203M,IND
5.75M,IRL
6.16M,IRN
1.03M,IRQ
61.4k,ISL
210k,ISR
19.3M,ITA
327k,JAM
205k,JOR
28.9M,JPN
2.04M,KAZ
2.66M,KEN
530k,
2.09M,KHM
17.9k,KIR
17.2k,
9.39M,KOR
